,id,description,universe,keyword,unkeyed,edition_type,edition
233,B11002F,Household Type by Relatives and Nonrelatives for Population in Households (Some Other Race Alone),Population in households with a householder who is Some Other Race alone,households,population household in and nonrelatives type race for other by alone) (some relative,acs5,2024-10-01
234,B25010B,Average Household Size of Occupied Housing Units by Tenure (Black or African American Alone Householder),Occupied housing units,housing,average household housing alone or (black american of african size tenure by householder) occupied unit,acs5,2024-10-01
235,B11002I,Household Type by Relatives and Nonrelatives for Population in Households (Hispanic or Latino),Population in households with a householder who is Hispanic or Latino,households,population household in or latino) and nonrelatives (hispanic type for by relative,acs5,2024-10-01
236,B26114,Group Quarters Type (3 Types) by Employment Status,Population 16 years and over,group quarters,status group type types) employment quarter by (3,acs5,2024-10-01
237,B25010A,Average Household Size of Occupied Housing Units by Tenure (White Alone Householder),Occupied housing units,housing,average household housing (white alone of size tenure by householder) occupied unit,acs5,2024-10-01
238,B11002H,"Household Type by Relatives and Nonrelatives for Population in Households (White Alone, Not Hispanic or Latino)","Population in households with a householder who is White alone, not Hispanic or Latino",households,"population household in (white or latino) and nonrelatives type not for by hispanic relative alone,",acs5,2024-10-01
239,B25039,Median Year Householder Moved Into Unit by Tenure,Occupied housing units,housing,moved into median householder year tenure by unit,acs5,2024-10-01
240,B25038,Tenure by Year Householder Moved Into Unit,Occupied housing units,housing,moved into householder year tenure by unit,acs5,2024-10-01
241,B26120,Group Quarters Type (3 Types) by Receipt of Food Stamps/SNAP in the Past 12 Months,Population in group quarters,group quarters,in the past of stamps/snap food group type types) 12 quarter by (3 receipt month,acs5,2024-10-01
242,B25031,Median Gross Rent by Bedrooms,Renter-occupied housing units paying cash rent,housing,bedroom median rent by gross,acs5,2024-10-01
243,B03001,Hispanic or Latino Origin by Specific Origin,Total population,ethnicity,or specific latino origin by hispanic,acs5,2024-10-01
244,B25077I,"Median Value (Dollars, Hispanic or Latino Householder)",Owner-occupied housing units with a householder who is Hispanic or Latino,housing,"median or (dollars, latino hispanic householder) value",acs5,2024-10-01
245,B03002,Hispanic or Latino Origin by Race,Total population,ethnicity,or latino race origin by hispanic,acs5,2024-10-01
246,B25077H,"Median Value (Dollars, White Alone, Not Hispanic or Latino Householder)","Owner-occupied housing units with a householder who is White alone, not Hispanic or Latino",housing,"value white median or (dollars, latino not hispanic householder) alone,",acs5,2024-10-01
247,B25033,Total Population in Occupied Housing Units by Tenure by Units in Structure,Total population in occupied housing units,housing,housing population in structure total tenure by occupied unit,acs5,2024-10-01
248,B25032,Tenure by Units in Structure,Occupied housing units,housing,in structure tenure by unit,acs5,2024-10-01
249,B25077G,"Median Value (Dollars, Two or More Races Householder)",Owner-occupied housing units with a householder who is Two or More Races,housing,"median or more two (dollars, race householder) value",acs5,2024-10-01
250,B25035,Median Year Structure Built,Housing units,housing,structure year median built,acs5,2024-10-01
251,B25077F,"Median Value (Dollars, Some Other Race Alone Householder)",Owner-occupied housing units with a householder who is Some Other Race alone,housing,"alone median (dollars, race other householder) some value",acs5,2024-10-01
252,B25034,Year Structure Built,Housing units,housing,structure year built,acs5,2024-10-01
253,B25077E,"Median Value (Dollars, Native Hawaiian and Other Pacific Islander Alone Householder)",Owner-occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone,housing,"alone median hawaiian and (dollars, pacific other islander householder) native value",acs5,2024-10-01
254,B25037,Median Year Structure Built by Tenure,Occupied housing units,housing,median structure year tenure by built,acs5,2024-10-01
255,B25077D,"Median Value (Dollars, Asian Alone Householder)",Owner-occupied housing units with a householder who is Asian alone,housing,"alone median (dollars, asian householder) value",acs5,2024-10-01
256,B25036,Tenure by Year Structure Built,Occupied housing units,housing,structure year tenure by built,acs5,2024-10-01
257,B25077C,"Median Value (Dollars, American Indian and Alaska Native Alone Householder)",Owner-occupied housing units with a householder who is American Indian and Alaska Native alone,housing,"alaska alone median american and (dollars, indian native householder) value",acs5,2024-10-01
258,B25077B,"Median Value (Dollars, Black or African American Alone Householder)",Owner-occupied housing units with a householder who is Black or African American alone,housing,"alone black median or american african (dollars, householder) value",acs5,2024-10-01
259,B25077A,"Median Value (Dollars, White Alone Householder)",Owner-occupied housing units with a householder who is White alone,housing,"white alone median (dollars, householder) value",acs5,2024-10-01
260,B07201PR,Geographical Mobility in the Past Year for Current Residence&#8211;&#8211;Metropolitan Statistical Area Level in Puerto Rico,Population 1 year and over living in a Metropolitan Statistical Area in Puerto Rico,geographical mobility,current in the level mobility geographical past year area puerto statistical for residence--metropolitan rico,acs5,2024-10-01
261,B26117,Group Quarters Type (3 Types) by Sex With Earnings in the Past 12 Months,Population 16 years and over with earnings,group quarters,in the past earnings 12 group type types) quarter by (3 with month sex,acs5,2024-10-01
262,B25027,Mortgage Status by Age of Householder,Owner-occupied housing units,housing,householder status of age by mortgage,acs5,2024-10-01
263,B26119,Median Earnings in the Past 12 Months by Group Quarters Type (3 Types) by Sex,Population 16 years and over with earnings,group quarters,in the median past earnings 12 group type types) quarter by (3 month sex,acs5,2024-10-01
264,B26118,Aggregate Earnings in the Past 12 Months by Group Quarters Type (3 Types) by Sex,Population 16 years and over with earnings,group quarters,aggregate in the past earnings 12 group type types) quarter by (3 month sex,acs5,2024-10-01
265,C18108,Age by Number of Disabilities,Civilian noninstitutionalized population,disability status,of age by number disability,acs5,2024-10-01
266,B25020,Tenure by Rooms,Occupied housing units,housing,tenure by room,acs5,2024-10-01
267,B06001PR,Place of Birth by Age in Puerto Rico,Total population in Puerto Rico,place of birth,rico in place of puerto age by birth,acs5,2024-10-01
268,B25022,Aggregate Number of Rooms by Tenure,Occupied housing units,housing,number aggregate of tenure by room,acs5,2024-10-01
269,B25021,Median Number of Rooms by Tenure,Occupied housing units,housing,number median of tenure by room,acs5,2024-10-01
270,B26110,Group Quarters Type (3 Types) by Nativity and Citizenship Status by Sex,Total population,group quarters,status and group type types) nativity quarter by (3 citizenship sex,acs5,2024-10-01
271,B25024,Units in Structure,Housing units,housing,structure in unit,acs5,2024-10-01
272,B26113,Group Quarters Type (3 Types) by Language Spoken at Home by Ability to Speak English,Population 5 years and over,group quarters,spoken english speak ability language home group type types) quarter by (3 at to,acs5,2024-10-01
273,B25026,Total Population in Occupied Housing Units by Tenure by Year Householder Moved Into Unit,Total population in occupied housing units,housing,housing population in moved into householder year total tenure by occupied unit,acs5,2024-10-01
274,C18131,Ratio of Income to Poverty Level in the Past 12 Months by Disability Status,Civilian noninstitutionalized population for whom poverty status is determined,disability status,in the level past status of 12 disability ratio by month income poverty to,acs5,2024-10-01
275,C18130,Age by Disability Status by Poverty Status,Civilian noninstitutionalized population for whom poverty status is determined,disability status,status age by disability poverty,acs5,2024-10-01
276,C27001B,Health Insurance Coverage Status by Age (Black or African American Alone),Black or African American alone civilian noninstitutionalized population,health insurance,insurance or (black status health american african age alone) by coverage,acs5,2024-10-01
277,B25017,Rooms,Housing units,housing,room,acs5,2024-10-01
278,B26106,Group Quarters Type (3 Types) by Educational Attainment,Population 25 years and over,group quarters,educational attainment group type types) quarter by (3,acs5,2024-10-01
279,C27001A,Health Insurance Coverage Status by Age (White Alone),White alone civilian noninstitutionalized population,health insurance,insurance (white status health age alone) by coverage,acs5,2024-10-01
280,B25016,Tenure by Plumbing Facilities by Occupants per Room,Occupied housing units,housing,facility per plumbing occupant tenure by room,acs5,2024-10-01
281,B26105,Group Quarters Type (3 Types) by School Enrollment,Population 3 years and over enrolled in school,group quarters,enrollment group type types) school quarter by (3,acs5,2024-10-01
282,C27001D,Health Insurance Coverage Status by Age (Asian Alone),Asian alone civilian noninstitutionalized population,health insurance,insurance status health (asian age alone) by coverage,acs5,2024-10-01
283,B25019,Aggregate Number of Rooms,Housing units,housing,aggregate room of number,acs5,2024-10-01
284,B26108,Group Quarters Type (3 Types) by Age by Disability Status,Total population,group quarters,status age group type types) quarter by (3 disability,acs5,2024-10-01
285,C27001C,Health Insurance Coverage Status by Age (American Indian and Alaska Native Alone),American Indian and Alaska Native alone civilian noninstitutionalized population,health insurance,insurance alaska (american status health and age alone) by indian native coverage,acs5,2024-10-01
286,B25018,Median Number of Rooms,Housing units,housing,room of median number,acs5,2024-10-01
287,B26107,Group Quarters Type (3 Types) by Veteran Status,Civilian population 18 years and over,group quarters,status veteran group type types) quarter by (3,acs5,2024-10-01
288,C27001F,Health Insurance Coverage Status by Age (Some Other Race Alone),Some other race alone civilian noninstitutionalized population,health insurance,insurance status health age race other alone) by (some coverage,acs5,2024-10-01
289,C27001E,Health Insurance Coverage Status by Age (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander alone civilian noninstitutionalized population,health insurance,insurance (native status health hawaiian and age pacific other alone) by islander coverage,acs5,2024-10-01
290,B26109,Group Quarters Type (3 Types) by Geographical Mobility in the Past Year for Current Residence in the United States,Population 1 year and over in the United States,group quarters,current in the residence mobility geographical past year state group type types) for quarter by (3 united,acs5,2024-10-01
291,C27001H,"Health Insurance Coverage Status by Age (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino civilian noninstitutionalized population",health insurance,"insurance alone, (white or latino) status health age not by hispanic coverage",acs5,2024-10-01
292,C27001G,Health Insurance Coverage Status by Age (Two or More Races),Two or more races civilian noninstitutionalized population,health insurance,insurance more or status health age (two by races) coverage,acs5,2024-10-01
293,B06012PR,Place of Birth by Poverty Status in the Past 12 Months in Puerto Rico,Population in Puerto Rico for whom poverty status is determined,place of birth,rico in the status past place of puerto 12 by month poverty birth,acs5,2024-10-01
294,B25011,Tenure by Household Type (Including Living Alone) and Age of Householder,Occupied housing units,housing,household householder and of (including age type tenure alone) by living,acs5,2024-10-01
295,B25010,Average Household Size of Occupied Housing Units by Tenure,Occupied housing units,housing,average household housing of size tenure by occupied unit,acs5,2024-10-01
296,B25013,Tenure by Educational Attainment of Householder,Occupied housing units,housing,educational householder attainment of tenure by,acs5,2024-10-01
297,B26102,Median Age by Group Quarters Type (3 Types),Total population,group quarters,median age group type types) quarter by (3,acs5,2024-10-01
298,B25012,Tenure by Families and Presence of Own Children,Occupied housing units,housing,child and of tenure by family own presence,acs5,2024-10-01
299,B26101,Group Quarters Type (3 Types) by Sex by Age,Total population,group quarters,age group type types) quarter by (3 sex,acs5,2024-10-01
300,B25015,Tenure by Age of Householder by Occupants per Room,Occupied housing units,housing,householder per of occupant age tenure by room,acs5,2024-10-01
301,B11011,Household Type by Units in Structure,Households,households,in household structure type by unit,acs5,2024-10-01
302,B26104,Group Quarters Type (3 Types) by Marital Status,Population 15 years and over,group quarters,marital status group type types) quarter by (3,acs5,2024-10-01
303,B25014,Tenure by Occupants per Room,Occupied housing units,housing,per occupant tenure by room,acs5,2024-10-01
304,B26103,Group Quarters Type (3 Types),Total population,group quarters,group type types) quarter (3,acs5,2024-10-01
305,C18120,Employment Status by Disability Status,Civilian noninstitutionalized population 18 to 64 years,disability status,disability employment status by,acs5,2024-10-01
306,B07004HPR,"Geographical Mobility in the Past Year (White Alone, Not Hispanic or Latino) for Current Residence in Puerto Rico","White alone, not Hispanic or Latino population 1 year and over in Puerto Rico",geographical mobility,"current in the (white or latino) mobility geographical past year residence puerto not for hispanic alone, rico",acs5,2024-10-01
307,C18121,Work Experience by Disability Status,Civilian noninstitutionalized population 18 to 64 years,disability status,status experience work by disability,acs5,2024-10-01
308,B25005,Vacant &#8211; Current Residence Elsewhere,Vacant housing units,housing,current residence elsewhere vacant -,acs5,2024-10-01
309,B25008,Total Population in Occupied Housing Units by Tenure,Total population in occupied housing units,housing,housing population in total tenure by occupied unit,acs5,2024-10-01
310,B25007,Tenure by Age of Householder,Occupied housing units,housing,householder of age tenure by,acs5,2024-10-01
311,B25009,Tenure by Household Size,Occupied housing units,housing,size household tenure by,acs5,2024-10-01
312,B25002,Occupancy Status,Housing units,housing,status occupancy,acs5,2024-10-01
313,B12002I,Sex by Marital Status for the Population 15 Years and Over (Hispanic or Latino),Hispanic or Latino population 15 years and over,marital status,population marital the 15 or latino) status and year (hispanic for over by sex,acs5,2024-10-01
314,B25001,Housing Units,Housing units,housing,housing unit,acs5,2024-10-01
315,B12002H,"Sex by Marital Status for the Population 15 Years and Over (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino population 15 years and over",marital status,"population marital the (white 15 or latino) status and year not for over by hispanic sex alone,",acs5,2024-10-01
316,B25004,Vacancy Status,Vacant housing units,housing,status vacancy,acs5,2024-10-01
317,B12002G,Sex by Marital Status for the Population 15 Years and Over (Two or More Races),Two or more races population 15 years and over,marital status,races) population marital the more 15 or status and year for over by sex (two,acs5,2024-10-01
318,B25003,Tenure,Occupied housing units,housing,tenure,acs5,2024-10-01
319,B12002F,Sex by Marital Status for the Population 15 Years and Over (Some Other Race Alone),Some other race alone population 15 years and over,marital status,population marital the 15 status and year race for over by other (some alone) sex,acs5,2024-10-01
320,B12002E,Sex by Marital Status for the Population 15 Years and Over (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander alone population 15 years and over,marital status,population marital the 15 status and year hawaiian pacific for over by other islander alone) sex (native,acs5,2024-10-01
321,B12002D,Sex by Marital Status for the Population 15 Years and Over (Asian Alone),Asian alone population 15 years and over,marital status,population marital the 15 status and year (asian for over by alone) sex,acs5,2024-10-01
322,B12002C,Sex by Marital Status for the Population 15 Years and Over (American Indian and Alaska Native Alone),American Indian and Alaska Native alone population 15 years and over,marital status,population marital the alaska native 15 (american status and year for over by alone) indian sex,acs5,2024-10-01
323,B12002B,Sex by Marital Status for the Population 15 Years and Over (Black or African American Alone),Black or African American alone population 15 years and over,marital status,population marital the 15 or (black status and year african american for over by alone) sex,acs5,2024-10-01
324,B12002A,Sex by Marital Status for the Population 15 Years and Over (White Alone),White alone population 15 years and over,marital status,population marital the (white 15 status and year for over by alone) sex,acs5,2024-10-01
325,B07402PR,Median Age by Geographical Mobility in the Past Year for Residence 1 Year Ago in Puerto Rico,Population 1 year and over,geographical mobility,in the median residence mobility geographical past year 1 ago puerto age for by rico,acs5,2024-10-01
326,B07409,Geographical Mobility in the Past Year by Educational Attainment for Residence 1 Year Ago in the United States,Population 25 years and over in the United States,geographical mobility,in the educational residence mobility geographical past year attainment 1 ago for by state united,acs5,2024-10-01
327,B27019,Health Insurance Coverage Status and Type by Age by Educational Attainment,Civilian noninstitutionalized population 26 years and over,health insurance,insurance educational status health and attainment age type by coverage,acs5,2024-10-01
328,B07407,Geographical Mobility in the Past Year by Citizenship Status for Residence 1 Year Ago in the United States,Population 1 year and over in the United States,geographical mobility,in the residence mobility geographical past year status 1 ago citizenship for by state united,acs5,2024-10-01
329,B07408,Geographical Mobility in the Past Year by Marital Status for Residence 1 Year Ago in the United States,Population 15 years and over in the United States,geographical mobility,in the marital residence mobility geographical past year status 1 ago for by state united,acs5,2024-10-01
330,B07403,Geographical Mobility in the Past Year by Sex for Residence 1 Year Ago in the United States,Population 1 year and over in the United States,geographical mobility,in the residence mobility geographical past year 1 ago for by state united sex,acs5,2024-10-01
331,B25075,Value,Owner-occupied housing units,housing,value,acs5,2024-10-01
332,B25074,Household Income by Gross Rent as a Percentage of Household Income in the Past 12 Months,Renter-occupied housing units,housing,household in the past rent of a percentage 12 by month income gross,acs5,2024-10-01
333,B07401,Geographical Mobility in the Past Year by Age for Residence 1 Year Ago in the United States,Population 1 year and over in the United States,geographical mobility,in the residence mobility geographical past year 1 ago age for by state united,acs5,2024-10-01
334,B27010,Types of Health Insurance Coverage by Age,Civilian noninstitutionalized population,health insurance,insurance health of age type by coverage,acs5,2024-10-01
335,B25077,Median Value (Dollars),Owner-occupied housing units,housing,(dollars) value median,acs5,2024-10-01
336,B25052,Kitchen Facilities for Occupied Housing Units,Occupied housing units,housing,housing kitchen facility for occupied unit,acs5,2024-10-01
337,B07402,Median Age by Geographical Mobility in the Past Year for Residence 1 Year Ago in the United States,Population 1 year and over in the United States,geographical mobility,in the median residence mobility geographical past year 1 ago age for by state united,acs5,2024-10-01
338,B27011,Health Insurance Coverage Status and Type by Employment Status,Civilian noninstitutionalized population 19 to 64 years,health insurance,insurance status health and type employment by coverage,acs5,2024-10-01
339,B25076,Lower Value Quartile (Dollars),Owner-occupied housing units,housing,(dollars) quartile lower value,acs5,2024-10-01
340,B25079,Aggregate Value (Dollars) by Age of Householder,Owner-occupied housing units,housing,aggregate householder (dollars) of age by value,acs5,2024-10-01
341,B25078,Upper Value Quartile (Dollars),Owner-occupied housing units,housing,quartile (dollars) value upper,acs5,2024-10-01
342,B27015,Health Insurance Coverage Status and Type by Household Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars),Civilian population living in households,health insurance,insurance household in the inflation-adjusted (in status health and past dollars) 12 type by 2022 month income coverage,acs5,2024-10-01
343,B25071,Median Gross Rent as a Percentage of Household Income in the Past 12 Months (Dollars),Renter-occupied housing units paying cash rent,housing,household in the median past rent (dollars) of percentage a 12 month income gross,acs5,2024-10-01
344,B25070,Gross Rent as a Percentage of Household Income in the Past 12 Months,Renter-occupied housing units,housing,household in the past rent of percentage a 12 month income gross,acs5,2024-10-01
345,B07007PR,Geographical Mobility in the Past Year by Citizenship Status for Current Residence in Puerto Rico,Population 1 year and over in Puerto Rico,geographical mobility,current in the residence mobility geographical past year status puerto citizenship for by rico,acs5,2024-10-01
346,B25072,Age of Householder by Gross Rent as a Percentage of Household Income in the Past 12 Months,Renter-occupied housing units,housing,household in the householder past rent of a age percentage 12 by month income gross,acs5,2024-10-01
347,B14007A,School Enrollment by Detailed Level of School for the Population 3 Years and Over (White Alone),White alone population 3 years and over,school enrollment,population the (white level 3 and year of enrollment school for over by alone) detailed,acs5,2024-10-01
348,B07203PR,Geographical Mobility in the Past Year for Current Residence&#8211;&#8211;Not Metropolitan or Micropolitan Statistical Area Level in Puerto Rico,Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in Puerto Rico,geographical mobility,current in the metropolitan or level mobility geographical past year area puerto statistical micropolitan for residence--not rico,acs5,2024-10-01
349,B08105A,Means of Transportation to Work (White Alone),White alone workers 16 years and over,work,(white mean of transportation alone) work to,acs5,2024-10-01
350,B08105B,Means of Transportation to Work (Black or African American Alone),Black or African American alone workers 16 years and over,work,or (black american mean of african transportation alone) work to,acs5,2024-10-01
351,B08105C,Means of Transportation to Work (American Indian and Alaska Native Alone),American Indian and Alaska Native alone workers 16 years and over,work,alaska (american and mean of transportation alone) work indian native to,acs5,2024-10-01
352,B07413PR,Geographical Mobility in the Past Year by Tenure for Residence 1 Year Ago in Puerto Rico,Population 1 year and over in households,geographical mobility,in the residence mobility geographical past year 1 ago puerto tenure for by rico,acs5,2024-10-01
353,B08105D,Means of Transportation to Work (Asian Alone),Asian alone workers 16 years and over,work,mean of (asian transportation alone) work to,acs5,2024-10-01
354,B08105E,Means of Transportation to Work (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander alone workers 16 years and over,work,hawaiian and mean of transportation pacific other work islander alone) (native to,acs5,2024-10-01
355,B08105F,Means of Transportation to Work (Some Other Race Alone),Some other race alone workers 16 years and over,work,mean of transportation race other work alone) (some to,acs5,2024-10-01
356,B08105G,Means of Transportation to Work (Two or More Races),Two or more races workers 16 years and over,work,more or mean of transportation work races) (two to,acs5,2024-10-01
357,B08105H,"Means of Transportation to Work (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino workers 16 years and over",work,"(white or latino) mean of transportation not work hispanic alone, to",acs5,2024-10-01
358,B08105I,Means of Transportation to Work (Hispanic or Latino),Hispanic or Latino workers 16 years and over,work,or latino) mean of (hispanic transportation work to,acs5,2024-10-01
359,B08503,Median Age by Means of Transportation to Work for Workplace Geography,Workers 16 years and over,work,median of mean age transportation workplace for work by geography to,acs5,2024-10-01
360,B27001,Health Insurance Coverage Status by Sex by Age,Civilian noninstitutionalized population,health insurance,insurance status health age by sex coverage,acs5,2024-10-01
361,B25064,Median Gross Rent (Dollars),Renter-occupied housing units paying cash rent,housing,(dollars) rent gross median,acs5,2024-10-01
362,B27002,Private Health Insurance Status by Sex by Age,Civilian noninstitutionalized population,health insurance,insurance status health age private by sex,acs5,2024-10-01
363,B25063,Gross Rent,Renter-occupied housing units,housing,rent gross,acs5,2024-10-01
364,B07412,Geographical Mobility in the Past Year by Poverty Status in the Past 12 Months for Residence 1 Year Ago in the United States,Population 1 year and over in the United States for whom poverty status is determined,geographical mobility,in the residence mobility geographical past year status 1 ago 12 for by state month united poverty,acs5,2024-10-01
365,B08501,Means of Transportation to Work by Age for Workplace Geography,Workers 16 years and over,work,mean of age transportation workplace for work by geography to,acs5,2024-10-01
366,B25066,Aggregate Gross Rent (Dollars) by Units in Structure,Renter-occupied housing units paying cash rent,housing,aggregate in structure rent (dollars) by gross unit,acs5,2024-10-01
367,B07413,Geographical Mobility in the Past Year by Tenure for Residence 1 Year Ago in the United States,Population 1 year and over in households in the United States,geographical mobility,in the residence mobility geographical past year 1 ago tenure for by state united,acs5,2024-10-01
368,B25065,Aggregate Gross Rent (Dollars),Renter-occupied housing units paying cash rent,housing,aggregate rent gross (dollars),acs5,2024-10-01
369,B06010PR,Place of Birth by Individual Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) in Puerto Rico,Population 15 years and over in Puerto Rico,place of birth,individual rico in the inflation-adjusted (in past place of dollars) puerto 12 by 2022 month income birth,acs5,2024-10-01
370,B07410,Geographical Mobility in the Past Year by Individual Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) for Residence 1 Year Ago in the United States,Population 15 years and over in the United States,geographical mobility,in residence past year 1 by 2022 united the ago (in mobility geographical dollars) 12 for month individual inflation-adjusted state income,acs5,2024-10-01
371,B07411,Median Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) by Geographical Mobility in the Past Year for Residence 1 Year Ago in the United States,Population 15 years and over in the United States with income,geographical mobility,in residence past year 1 2022 by united the ago median (in mobility geographical dollars) 12 for month inflation-adjusted state income,acs5,2024-10-01
372,B25067,Aggregate Gross Rent (Dollars) by Meals Included in Rent,Renter-occupied housing units paying cash rent,housing,aggregate in rent (dollars) meal by included gross,acs5,2024-10-01
373,B27003,Public Health Insurance Status by Sex by Age,Civilian noninstitutionalized population,health insurance,insurance status health age public by sex,acs5,2024-10-01
374,B25069,Inclusion of Utilities in Rent,Renter-occupied housing units,housing,inclusion in rent of utility,acs5,2024-10-01
375,B14007F,School Enrollment by Detailed Level of School for the Population 3 Years and Over (Some Other Race Alone),Some other race alone population 3 years and over,school enrollment,population the level 3 and year of enrollment school race for over by other (some alone) detailed,acs5,2024-10-01
376,B14007G,School Enrollment by Detailed Level of School for the Population 3 Years and Over (Two or More Races),Two or more races population 3 years and over,school enrollment,population the more level 3 or and year of enrollment school for over by races) (two detailed,acs5,2024-10-01
377,B14007H,"School Enrollment by Detailed Level of School for the Population 3 Years and Over (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino, population 3 years and over",school enrollment,"population (white 3 year by the of detailed and school not for alone, level or latino) enrollment over hispanic",acs5,2024-10-01
378,B14007I,School Enrollment by Detailed Level of School for the Population 3 Years and Over (Hispanic or Latino),Hispanic or Latino population 3 years and over,school enrollment,population the level 3 or latino) and year of (hispanic enrollment school for over by detailed,acs5,2024-10-01
379,B14007B,School Enrollment by Detailed Level of School for the Population 3 Years and Over (Black or African American Alone),Black or African American alone population 3 years and over,school enrollment,population the level 3 (black or and year of african enrollment american school for over by alone) detailed,acs5,2024-10-01
380,B25060,Aggregate Contract Rent (Dollars),Renter-occupied housing units paying cash rent,housing,aggregate rent (dollars) contract,acs5,2024-10-01
381,B14007C,School Enrollment by Detailed Level of School for the Population 3 Years and Over (American Indian and Alaska Native Alone),American Indian and Alaska Native alone population 3 years and over,school enrollment,population the alaska level 3 (american and year of enrollment school for over by alone) indian native detailed,acs5,2024-10-01
382,B14007D,School Enrollment by Detailed Level of School for the Population 3 Years and Over (Asian Alone),Asian alone population 3 years and over,school enrollment,population the level 3 and year of (asian enrollment school for over by alone) detailed,acs5,2024-10-01
383,B25062,Aggregate Rent Asked (Dollars),"Vacant-for-rent and rented, not occupied housing units",housing,aggregate rent (dollars) asked,acs5,2024-10-01
384,B14007E,School Enrollment by Detailed Level of School for the Population 3 Years and Over (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander alone population 3 years and over,school enrollment,population 3 year other by (native the of islander detailed and hawaiian school pacific for level enrollment over alone),acs5,2024-10-01
385,B25061,Rent Asked,"Vacant-for-rent and rented, not occupied housing units",housing,asked rent,acs5,2024-10-01
386,B15012,Total Fields of Bachelor's Degrees Reported,Population 25 years and over with a Bachelor's degree or higher attainment,educational attainment,reported total degree of field bachelor's,acs5,2024-10-01
387,B15011,Sex by Age by Field of Bachelor's Degree for First Major for the Population 25 Years and Over,Population 25 years and over with a Bachelor's degree or higher attainment,educational attainment,major population the and year of degree age field bachelor's for by over 25 first sex,acs5,2024-10-01
388,B20005A,Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) for the Population 16 Years and Over (White Alone),White alone population 16 years and over,individual earnings,population in (white past earnings year by 2022 the sex 16 (in and dollars) 12 experience for work month inflation-adjusted over alone),acs5,2024-10-01
389,B20005B,Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) for the Population 16 Years and Over (Black or African American Alone),Black or African American alone population 16 years and over,individual earnings,population in (black past earnings year american by 2022 the sex 16 (in and dollars) 12 experience for work month inflation-adjusted or african over alone),acs5,2024-10-01
390,B15014,Median Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) by Age by Field of Bachelor's Degree for First Major,Population 25 to 64 years with earnings and a Bachelor's degree or higher attainment,educational attainment,in past earnings age field bachelor's 2022 by the of first major median (in dollars) 12 for month inflation-adjusted degree,acs5,2024-10-01
391,B20005C,Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) for the Population 16 Years and Over (American Indian and Alaska Native Alone),American Indian and Alaska Native alone population 16 years and over,individual earnings,population in past earnings year by 2022 the alaska indian sex 16 (in (american and dollars) 12 experience for work month native inflation-adjusted over alone),acs5,2024-10-01
392,B15013,Median Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) by Sex by Field of Bachelor's Degree for First Major,Population 25 to 64 years with earnings and a Bachelor's degree or higher attainment,educational attainment,in past earnings field bachelor's 2022 by the of first sex major median (in dollars) 12 for month inflation-adjusted degree,acs5,2024-10-01
393,B20005D,Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) for the Population 16 Years and Over (Asian Alone),Asian alone population 16 years and over,individual earnings,population in past earnings year (asian by 2022 the sex 16 (in and dollars) 12 experience for work month inflation-adjusted over alone),acs5,2024-10-01
394,B25055,Age of Householder by Meals Included in Rent,Renter-occupied housing units paying cash rent,housing,in householder rent of age meal by included,acs5,2024-10-01
395,B25054,Kitchen Facilities by Meals Included in Rent,Renter-occupied housing units paying cash rent,housing,kitchen in facility rent meal by included,acs5,2024-10-01
396,B25057,Lower Contract Rent Quartile (Dollars),Renter-occupied housing units paying cash rent,housing,lower rent (dollars) contract quartile,acs5,2024-10-01
397,B25059,Upper Contract Rent Quartile (Dollars),Renter-occupied housing units paying cash rent,housing,rent (dollars) upper contract quartile,acs5,2024-10-01
398,B25058,Median Contract Rent (Dollars),Renter-occupied housing units paying cash rent,housing,contract rent (dollars) median,acs5,2024-10-01
